rel_threshold	tissue	role	mapq_min	strand	start	end	length	genes	gene_types
0.1	lcl	primary	0	both	4353	4427	75	MT-TQ,MT-TM	Mt_tRNA
0.1	lcl	primary	0	both	4461	4841	381	MT-TM,MT-ND2	Mt_tRNA,protein_coding
0.1	lcl	primary	0	both	5590	5798	209	MT-TA,MT-TN,MT-TC	Mt_tRNA
0.1	lcl	primary	0	both	5856	6001	146	MT-TY,MT-CO1	Mt_tRNA,protein_coding
0.1	lcl	primary	0	both	6038	6190	153	MT-CO1	protein_coding
0.1	lcl	primary	0	both	6699	6912	214	MT-CO1	protein_coding
0.1	lcl	primary	0	both	6967	7125	159	MT-CO1	protein_coding
0.1	lcl	primary	0	both	7351	7519	169	MT-CO1,MT-TS1,MT-TD	Mt_tRNA,protein_coding
0.1	lcl	primary	0	both	8295	8359	65	MT-TK	Mt_tRNA
0.1	lcl	primary	0	both	8720	9035	316	MT-ATP6	protein_coding
0.1	lcl	primary	255	both	1032	1248	217	MT-RNR1	Mt_rRNA
0.1	lcl	primary	255	both	3968	3995	28	MT-ND1	protein_coding
0.1	lcl	primary	255	both	4126	4308	183	MT-ND1,MT-TI	Mt_tRNA,protein_coding
0.1	lcl	primary	255	both	4332	4439	108	MT-TQ,MT-TM	Mt_tRNA
0.1	lcl	primary	255	both	4461	4848	388	MT-TM,MT-ND2	Mt_tRNA,protein_coding
0.1	lcl	primary	255	both	5056	5120	65	MT-ND2	protein_coding
0.1	lcl	primary	255	both	5164	5288	125	MT-ND2	protein_coding
0.1	lcl	primary	255	both	5590	5815	226	MT-TA,MT-TN,MT-TC	Mt_tRNA
0.1	lcl	primary	255	both	5852	6011	160	MT-TY,MT-CO1	Mt_tRNA,protein_coding
0.1	lcl	primary	255	both	6030	6211	182	MT-CO1	protein_coding
0.1	lcl	primary	255	both	6693	6925	233	MT-CO1	protein_coding
0.1	lcl	primary	255	both	6949	7132	184	MT-CO1	protein_coding
0.1	lcl	primary	255	both	7329	7519	191	MT-CO1,MT-TS1,MT-TD	Mt_tRNA,protein_coding
0.1	lcl	primary	255	both	7527	7595	69	MT-TD,MT-CO2	Mt_tRNA,protein_coding
0.1	lcl	primary	255	both	8295	8363	69	MT-TK	Mt_tRNA
0.1	lcl	primary	255	both	8690	9043	354	MT-ATP6	protein_coding
0.1	skeletal_muscle	replication	0	+	1037	1254	218	MT-RNR1	Mt_rRNA
0.1	skeletal_muscle	replication	0	+	4197	4260	64	MT-ND1	protein_coding
0.1	skeletal_muscle	replication	0	+	4471	4847	377	MT-ND2	protein_coding
0.1	skeletal_muscle	replication	0	+	5586	5797	212	MT-TA,MT-TN,MT-TC	Mt_tRNA
0.1	skeletal_muscle	replication	0	+	5861	5983	123	MT-TY,MT-CO1	Mt_tRNA,protein_coding
0.1	skeletal_muscle	replication	0	+	6053	6202	150	MT-CO1	protein_coding
0.1	skeletal_muscle	replication	0	+	6742	6873	132	MT-CO1	protein_coding
0.1	skeletal_muscle	replication	0	+	7014	7077	64	MT-CO1	protein_coding
0.1	skeletal_muscle	replication	0	+	7340	7519	180	MT-CO1,MT-TS1,MT-TD	Mt_tRNA,protein_coding
0.1	skeletal_muscle	replication	0	+	8296	8315	20	MT-TK	Mt_tRNA
0.1	skeletal_muscle	replication	0	+	8755	8941	187	MT-ATP6	protein_coding
0.1	skeletal_muscle	replication	0	-	1076	1262	187	MT-RNR1	Mt_rRNA
0.1	skeletal_muscle	replication	0	-	1949	1978	30	MT-RNR2	Mt_rRNA
0.1	skeletal_muscle	replication	0	-	4134	4307	174	MT-ND1,MT-TI	Mt_tRNA,protein_coding
0.1	skeletal_muscle	replication	0	-	4353	4431	79	MT-TQ,MT-TM	Mt_tRNA
0.1	skeletal_muscle	replication	0	-	4461	4850	390	MT-TM,MT-ND2	Mt_tRNA,protein_coding
0.1	skeletal_muscle	replication	0	-	5600	5773	174	MT-TA,MT-TN,MT-TC	Mt_tRNA
0.1	skeletal_muscle	replication	0	-	5849	6009	161	MT-TY,MT-CO1	Mt_tRNA,protein_coding
0.1	skeletal_muscle	replication	0	-	6060	6181	122	MT-CO1	protein_coding
0.1	skeletal_muscle	replication	0	-	6699	6924	226	MT-CO1	protein_coding
0.1	skeletal_muscle	replication	0	-	6958	7117	160	MT-CO1	protein_coding
0.1	skeletal_muscle	replication	0	-	7360	7491	132	MT-CO1,MT-TS1	Mt_tRNA,protein_coding
0.1	skeletal_muscle	replication	0	-	8231	8366	136	MT-CO2,MT-TK,MT-ATP8	Mt_tRNA,protein_coding
0.1	skeletal_muscle	replication	0	-	8747	9002	256	MT-ATP6	protein_coding
0.1	skeletal_muscle	replication	0	both	1037	1254	218	MT-RNR1	Mt_rRNA
0.1	skeletal_muscle	replication	0	both	4195	4265	71	MT-ND1,MT-TI	Mt_tRNA,protein_coding
0.1	skeletal_muscle	replication	0	both	4471	4847	377	MT-ND2	protein_coding
0.1	skeletal_muscle	replication	0	both	5587	5797	211	MT-TA,MT-TN,MT-TC	Mt_tRNA
0.1	skeletal_muscle	replication	0	both	5861	5983	123	MT-TY,MT-CO1	Mt_tRNA,protein_coding
0.1	skeletal_muscle	replication	0	both	6053	6202	150	MT-CO1	protein_coding
0.1	skeletal_muscle	replication	0	both	6742	6874	133	MT-CO1	protein_coding
0.1	skeletal_muscle	replication	0	both	7013	7077	65	MT-CO1	protein_coding
0.1	skeletal_muscle	replication	0	both	7340	7519	180	MT-CO1,MT-TS1,MT-TD	Mt_tRNA,protein_coding
0.1	skeletal_muscle	replication	0	both	8295	8337	43	MT-TK	Mt_tRNA
0.1	skeletal_muscle	replication	0	both	8755	8941	187	MT-ATP6	protein_coding
0.1	skeletal_muscle	replication	255	+	1031	1255	225	MT-RNR1	Mt_rRNA
0.1	skeletal_muscle	replication	255	+	4133	4281	149	MT-ND1,MT-TI	Mt_tRNA,protein_coding
0.1	skeletal_muscle	replication	255	+	4375	4411	37	MT-TQ,MT-TM	Mt_tRNA
0.1	skeletal_muscle	replication	255	+	4470	4855	386	MT-ND2	protein_coding
0.1	skeletal_muscle	replication	255	+	5177	5304	128	MT-ND2	protein_coding
0.1	skeletal_muscle	replication	255	+	5585	5814	230	MT-TA,MT-TN,MT-TC	Mt_tRNA
0.1	skeletal_muscle	replication	255	+	5860	6015	156	MT-TY,MT-CO1	Mt_tRNA,protein_coding
0.1	skeletal_muscle	replication	255	+	6039	6214	176	MT-CO1	protein_coding
0.1	skeletal_muscle	replication	255	+	6696	6927	232	MT-CO1	protein_coding
0.1	skeletal_muscle	replication	255	+	6958	7130	173	MT-CO1	protein_coding
0.1	skeletal_muscle	replication	255	+	7329	7519	191	MT-CO1,MT-TS1,MT-TD	Mt_tRNA,protein_coding
0.1	skeletal_muscle	replication	255	+	7539	7591	53	MT-TD,MT-CO2	Mt_tRNA,protein_coding
0.1	skeletal_muscle	replication	255	+	8296	8317	22	MT-TK	Mt_tRNA
0.1	skeletal_muscle	replication	255	+	8727	9027	301	MT-ATP6	protein_coding
0.1	skeletal_muscle	replication	255	-	1032	1112	81	MT-RNR1	Mt_rRNA
0.1	skeletal_muscle	replication	255	-	1195	1262	68	MT-RNR1	Mt_rRNA
0.1	skeletal_muscle	replication	255	-	1419	1495	77	MT-RNR1	Mt_rRNA
0.1	skeletal_muscle	replication	255	-	1916	1987	72	MT-RNR2	Mt_rRNA
0.1	skeletal_muscle	replication	255	-	3944	4017	74	MT-ND1	protein_coding
0.1	skeletal_muscle	replication	255	-	4127	4309	183	MT-ND1,MT-TI	Mt_tRNA,protein_coding
0.1	skeletal_muscle	replication	255	-	4346	4437	92	MT-TQ,MT-TM	Mt_tRNA
0.1	skeletal_muscle	replication	255	-	4461	4854	394	MT-TM,MT-ND2	Mt_tRNA,protein_coding
0.1	skeletal_muscle	replication	255	-	5160	5305	146	MT-ND2	protein_coding
0.1	skeletal_muscle	replication	255	-	5590	5812	223	MT-TA,MT-TN,MT-TC	Mt_tRNA
0.1	skeletal_muscle	replication	255	-	5847	6009	163	MT-TY,MT-CO1	Mt_tRNA,protein_coding
0.1	skeletal_muscle	replication	255	-	6032	6205	174	MT-CO1	protein_coding
0.1	skeletal_muscle	replication	255	-	6691	6927	237	MT-CO1	protein_coding
0.1	skeletal_muscle	replication	255	-	6950	7123	174	MT-CO1	protein_coding
0.1	skeletal_muscle	replication	255	-	7339	7508	170	MT-CO1,MT-TS1	Mt_tRNA,protein_coding
0.1	skeletal_muscle	replication	255	-	8231	8367	137	MT-CO2,MT-TK,MT-ATP8	Mt_tRNA,protein_coding
0.1	skeletal_muscle	replication	255	-	8737	9009	273	MT-ATP6	protein_coding
0.1	skeletal_muscle	replication	255	both	1031	1255	225	MT-RNR1	Mt_rRNA
0.1	skeletal_muscle	replication	255	both	4133	4289	157	MT-ND1,MT-TI	Mt_tRNA,protein_coding
0.1	skeletal_muscle	replication	255	both	4352	4411	60	MT-TQ,MT-TM	Mt_tRNA
0.1	skeletal_muscle	replication	255	both	4470	4855	386	MT-ND2	protein_coding
0.1	skeletal_muscle	replication	255	both	5177	5304	128	MT-ND2	protein_coding
0.1	skeletal_muscle	replication	255	both	5586	5814	229	MT-TA,MT-TN,MT-TC	Mt_tRNA
0.1	skeletal_muscle	replication	255	both	5860	6015	156	MT-TY,MT-CO1	Mt_tRNA,protein_coding
0.1	skeletal_muscle	replication	255	both	6039	6214	176	MT-CO1	protein_coding
0.1	skeletal_muscle	replication	255	both	6696	6927	232	MT-CO1	protein_coding
0.1	skeletal_muscle	replication	255	both	6958	7130	173	MT-CO1	protein_coding
0.1	skeletal_muscle	replication	255	both	7329	7519	191	MT-CO1,MT-TS1,MT-TD	Mt_tRNA,protein_coding
0.1	skeletal_muscle	replication	255	both	7540	7590	51	MT-TD,MT-CO2	Mt_tRNA,protein_coding
0.1	skeletal_muscle	replication	255	both	8295	8340	46	MT-TK	Mt_tRNA
0.1	skeletal_muscle	replication	255	both	8727	9027	301	MT-ATP6	protein_coding
